team season day ones twos threes fours fives teampower chance id territory territory_power
35 1 1 0 0 0 0 0 0 0 521 104 2
34 1 1 0 1 0 0 0 2 1 522 104 2
42 1 1 0 2 0 0 0 4 0.5714285714285714 523 105 7
10 1 1 1 0 0 0 0 1 0.14285714285714285 524 105 7
11 1 1 0 1 0 0 0 2 0.2857142857142857 525 105 7
35 1 1 0 0 0 0 0 0 0 526 105 7
35 1 1 0 0 0 0 0 0 1 527 106 0
36 1 1 0 0 0 0 0 0 1 528 107 0
36 1 1 0 0 0 0 0 0 1 529 108 0
36 1 1 0 0 0 0 0 0 0 530 109 21
3 1 1 5 5 2 0 0 21 1 531 109 21
37 1 1 0 0 0 0 0 0 1 532 110 0
37 1 1 0 0 0 0 0 0 0 533 111 4
32 1 1 0 0 0 1 0 4 1 534 111 4
37 1 1 0 0 0 0 0 0 0 535 112 2
38 1 1 0 1 0 0 0 2 1 536 112 2
38 1 1 1 0 0 0 0 1.5 1 537 113 1.5
38 1 1 0 0 0 0 0 0 0 538 114 3
39 1 1 0 0 1 0 0 3 1 539 114 3
38 1 1 1 1 0 0 0 4.5 0.6923076923076923 540 115 6.5
39 1 1 0 1 0 0 0 2 0.3076923076923077 541 115 6.5
39 1 1 0 0 0 0 0 0 0 542 116 5
38 1 1 0 1 1 0 0 5 1 543 116 5
39 1 1 0 0 0 0 0 0 1 544 117 0
39 1 1 0 0 1 0 0 4.5 1 545 118 4.5
18 1 1 1 1 0 0 0 3 0.42857142857142855 546 119 7
36 1 1 0 1 0 0 0 2 0.2857142857142857 547 119 7
39 1 1 0 1 0 0 0 2 0.2857142857142857 548 119 7
40 1 1 0 0 0 0 0 0 0 549 119 7
40 1 1 0 0 0 0 0 0 1 550 120 0
40 1 1 0 0 0 0 0 0 1 551 121 0
41 1 1 0 0 0 0 0 0 0 552 122 2
3 1 1 0 1 0 0 0 2 1 553 122 2
41 1 1 0 0 0 0 0 0 0 554 123 4
7 1 1 0 0 0 1 0 4 1 555 123 4
41 1 1 0 0 0 0 0 0 0 556 124 3
3 1 1 0 0 1 0 0 3 1 557 124 3
42 1 1 0 0 0 0 0 0 1 558 125 0
42 1 1 0 0 0 0 0 0 0 559 126 1
