team season day ones twos threes fours fives teampower chance id territory territory_power
12 1 1 0 0 0 0 0 0 1 185 36 0
45 1 1 0 0 1 0 0 3 0.5 186 37 6
43 1 1 3 0 0 0 0 3 0.5 187 37 6
13 1 1 0 0 0 0 0 0 1 188 38 0
13 1 1 0 0 0 0 0 0 1 189 39 0
13 1 1 0 0 0 0 0 0 1 190 40 0
13 1 1 0 0 1 0 0 3 1 191 41 3
29 1 1 0 2 0 0 0 4 1 192 42 4
30 1 1 0 0 1 0 0 3 1 193 43 3
15 1 1 0 1 0 0 0 3 1 194 44 3
15 1 1 0 0 0 0 0 0 1 195 45 0
15 1 1 1 0 0 0 0 1.5 1 196 46 1.5
22 1 1 1 0 0 0 0 1 1 197 47 1
29 1 1 0 0 1 0 0 3 1 198 48 3
29 1 1 0 1 1 0 0 5 0.714285714285714302 199 49 7
42 1 1 0 1 0 0 0 2 0.285714285714285698 200 49 7
17 1 1 0 0 0 0 0 0 1 201 50 0
18 1 1 0 1 0 0 0 2 1 202 51 2
3 1 1 0 0 1 0 0 3 0.75 203 52 4
36 1 1 1 0 0 0 0 1 0.25 204 52 4
18 1 1 0 0 0 0 0 0 1 205 53 0
18 1 1 0 0 0 0 0 0 1 206 54 0
18 1 1 0 1 0 0 0 3 1 207 55 3
19 1 1 0 0 0 0 0 0 1 208 56 0
19 1 1 0 1 0 1 0 9 1 209 57 9
43 1 1 1 0 0 0 0 1 1 210 58 1
20 1 1 0 3 0 0 0 9 1 211 59 9
30 1 1 1 2 0 0 0 5 0.625 212 60 8
20 1 1 0 1 0 0 0 3 0.375 213 60 8
20 1 1 0 0 0 0 0 0 1 214 61 0
21 1 1 0 0 0 0 0 0 1 215 62 0
21 1 1 0 0 0 0 0 0 1 216 63 0
20 1 1 0 1 0 0 0 2 1 217 64 2
44 1 1 0 0 0 1 0 4 0.571428571428571397 218 65 7
20 1 1 0 1 0 0 0 3 0.428571428571428548 219 65 7
22 1 1 0 0 0 0 0 0 1 220 66 0
1 1 1 2 2 0 0 0 6 0.66666666666666663 221 67 9
18 1 1 0 0 1 0 0 3 0.333333333333333315 222 67 9
2 1 1 0 1 0 0 0 2 1 223 68 2
2 1 1 0 1 0 0 0 2 1 224 69 2
7 1 1 1 0 0 0 0 1 1 225 70 1
35 1 1 1 0 0 0 0 1 1 226 71 1
24 1 1 0 0 0 0 0 0 1 227 72 0
34 1 1 0 1 0 0 0 2 1 228 73 2
25 1 1 0 0 0 0 0 0 1 229 74 0
25 1 1 0 0 0 0 0 0 1 230 75 0
25 1 1 0 0 0 0 0 0 1 231 76 0
25 1 1 1 0 0 0 0 1 1 232 77 1
15 1 1 0 1 0 0 0 2 1 233 78 2
28 1 1 0 0 1 0 0 3 1 234 79 3
37 1 1 0 1 0 0 0 2 0.11764705882352941 235 80 17
3 1 1 4 4 1 0 0 15 0.882352941176470562 236 80 17
37 1 1 1 0 0 0 0 1 0.200000000000000011 237 81 5
3 1 1 2 1 0 0 0 4 0.800000000000000044 238 81 5
28 1 1 0 1 0 0 0 2 1 239 82 2
5 1 1 0 1 0 0 0 2 0.66666666666666663 240 83 3
3 1 1 1 0 0 0 0 1 0.333333333333333315 241 83 3
28 1 1 0 0 0 0 0 0 1 242 84 0
28 1 1 0 0 0 0 0 0 1 243 85 0
29 1 1 0 1 0 0 0 3 1 244 86 3
29 1 1 1 0 0 0 0 1.5 1 245 87 1.5
29 1 1 0 2 0 0 0 6 1 246 88 6
31 1 1 1 0 0 0 0 1 1 247 89 1
30 1 1 1 1 0 0 0 4.5 0.692307692307692291 248 90 6.5
29 1 1 0 1 0 0 0 2 0.307692307692307709 249 90 6.5
30 1 1 0 0 0 0 0 0 1 250 91 0
30 1 1 0 2 0 0 0 4 1 251 92 4
30 1 1 1 1 0 0 0 3 0.333333333333333315 252 93 9
29 1 1 1 1 1 0 0 6 0.66666666666666663 253 93 9
32 1 1 0 1 0 0 0 2 1 254 94 2
15 1 1 1 1 0 0 0 3 0.428571428571428548 255 95 7
3 1 1 0 2 0 0 0 4 0.571428571428571397 256 95 7
32 1 1 0 0 0 0 0 0 1 257 96 0
43 1 1 0 1 0 0 0 2 1 258 97 2
32 1 1 0 1 1 0 0 5 1 259 98 5
33 1 1 0 0 0 0 0 0 1 260 99 0
29 1 1 1 0 1 1 0 8 1 261 100 8
28 1 1 0 0 0 1 0 4 1 262 101 4
34 1 1 2 0 0 0 0 3 1 263 102 3
11 1 1 0 1 0 0 0 2 0.66666666666666663 264 103 3
10 1 1 1 0 0 0 0 1 0.333333333333333315 265 103 3
34 1 1 0 1 0 0 0 2 1 266 104 2
11 1 1 0 1 0 0 0 2 0.285714285714285698 267 105 7
10 1 1 1 0 0 0 0 1 0.142857142857142849 268 105 7
42 1 1 0 2 0 0 0 4 0.571428571428571397 269 105 7
35 1 1 0 0 0 0 0 0 1 270 106 0
36 1 1 0 0 0 0 0 0 1 271 107 0
36 1 1 0 0 0 0 0 0 1 272 108 0
3 1 1 5 5 2 0 0 21 1 273 109 21
37 1 1 0 0 0 0 0 0 1 274 110 0
32 1 1 0 0 0 1 0 4 1 275 111 4
38 1 1 0 1 0 0 0 2 1 276 112 2
